CLUE,ANS,POS
Tudor houses were often so ,half-timbered,3
One who compensates (another) for harm or loss ,indemnifier,3
Man-made jet of water ,fountain,1
Christmas decoration ,tinsel,2
Disobey ,defy,1
Those giving a party,hosts,1
"Constraint, coercion ",duress,3
Defame falsely,libel,2
Stops ,ceases,2
Cut down on ,reduce,1
Without pause ,nonstop,6
Water round a castle,moat,1
Weep ,cry,1
Busy insects ,ants,2
Feeling guilt or remorse ,ashamed,4
Hot condiment ,mustard,1
Bird (of peace?) ,dove,1
Obstinate quadruped,mule,1
