CLUE,ANS,POS
Ethiopian capital ,addis ababa,1
"Gas, O ",oxygen,10
Between Triassic and Cretaceous ,jurassic,3
Madness ,insanity,4
Latticework to support plants ,trellis,1
Relating to love ,romantic,18
Insanity ,madness,3
Greek waters ,ionian sea,5
Dairy product ,cheese,4
"Flourish, do well ",prosper,1
Male relative ,grandson,3
Head of abbey ,abbot,1
Material for pottery ,clay,1
Immeasurably bad ,abysmal,1
Ocean ,sea,1
Irish county and port ,limerick,4
Snare; carriage ,trap,1
Strong drive for success ,ambition,1
