CLUE,ANS,POS
Vertical parts of stairs ,risers,1
Disastrous ,catastrophic,1
First Greek letter ,alpha,1
Five-cent coin (US) ,nickel,1
Delicate ornamental metalwork,filigree,1
Cheese,camembert,7
"Settled, found a solution ",resolved,1
Small stone ,pebble,1
Science of speech sounds,phonetics,1
American region of religious fundamentalism ,bible belt,2
Animal with a sting in its tail ,scorpion,1
Balkan country,macedonia,1
Dispensary ,pharmacy,1
Clarified butter used in Indian cooking ,ghee,1
Cited ,quoted,3
Equipment ,kit,6
Gem weight unit,carat,1
