CLUE,ANS,POS,FOUND IN
Get bigger ,grow,7,Grow larger
Object thrown in field sports ,discus,19,Discus - The heavy round object thrown by athletes competing in discus throwing events in track and field sports.
Discharge; give expression to,vent,4,Venting - Releasing pressure by allowing escape through a vent or opening
Essaying ,trying,1,"Attempt - The act of trying to accomplish something, often in writing or speech."
Snow vehicle and heavy hammer ,sledge,8,"Sledgehammer (a large, heavy hammer typically used in construction or demolition)"
Friendly ,sociable,9,Sociable - enjoying the company of others; outgoing and friendly.
Furthest extent ,limit,8,"Extreme - beyond ordinary limits in distance, size, intensity, etc."
Dismal ,drear,2,Dreary
Aid to memory ,mnemonic,1,Mnemonics
Cases ,luggage,5,Luggage compartment
Bigotry ,bias,15,Bias (prejudice)
Intensely angry - dark bluish grey ,livid,14,Lividity (noun) – the state of rage or fury; it also refers to discoloration in livor mortis but used metaphorically here
South American pack animal ,llama,3,Llama - A domesticated South American mammal used as a pack animal and for wool production.
Polynesian garland ,lei,1,"Lei - A traditional Hawaiian garland made from flowers, leaves, and other materials woven together."
One with no illusions ,realist,1,Realistic
