CLUE,ANS,POS,FOUND IN
Boundary trench ,ditch,2,Defensive ditch
Watery milk ,whey,15,Whey-like substance
Indian term of respect,sahib,8,Sahibzada
Revolving platform ,turntable,2,Spinning turntable
Islands off Cornwall ,scilly,7,"The Isles of Scilly are famous for their beautiful beaches, including the iconic Porthcressa Beach on St Mary's."
Enunciation ,diction,7,Accurate diction
Yellow-brown pigment ,sienna,9,Sienna-brown
Type of macaque ,rhesus,1,Rhesus macaque (Macaca mulatta)
Tanned hide ,leather,1,Leathered
"Eg, Vesuvius ",volcano,2,"It's an active volcano: Vesuvius has erupted many times throughout history, with the most recent eruption occurring in 1944."
Costed ,priced,3,High-priced
Consequence caused by something else ,effect,14,Effects on food security and availability
One of Montezuma's people,aztec,3,Aztecan
"... of the fittest, natural selection ",survival,3,Survivalist
Clear savoury jelly ,aspic,2,Clear aspic
