CLUE,ANS,POS
Farm vehicle ,tractor,1
Palindromic German name ,otto,1
Not damaged in any way,intact,1
Underground cemetery ,catacomb,3
Wartime safety device ,gas mask,1
Giving way ,yielding,1
Antelope,impala,2
Gift; here ,present,1
Large African mammal,hippopotamus,3
George Eliot novel ,daniel deronda,3
Remunerations ,earnings,5
Chic ,elegant,4
Eye problems causing blurred vision ,cataracts,5
Large deer ,caribou,4
"Stage entertainment with sketches, songs and dance ",revue,2
Gourd fruit ,melon,3
