CLUE,ANS,POS,FOUND IN
"Charlotte, Branwell, Emily and Anne ",bronte,9,"Jane Eyre: Charlotte Bronte's best-known work, this semi-autobiographical novel centers around the life journey of its protagonist, Jane Eyre, encompassing her struggle for independence and self-fulfillment amidst societal constraints."
Godparent ,sponsor,1,Baptism sponsor
Reviling with coarse language,abusive,4,Abusive speech
A really foul smell ,stench,2,Malodorous stench
Get on - governing body ,board,1,Board member
State of equilibrium ,balance,1,Balanced
Horrific experience ,ordeal,6,Appalling ordeal
Feeling of fear - in lower extremities? ,cold feet,12,Paralyzing cold feet
Instructions for cooking ,recipe,1,Preheat the oven or stovetop as required by your recipe.
One of the Twelve Apostles ,thomas,8,Thomas (known for doubting Jesus' resurrection until he personally saw his wounds)
Leave out ,omit,15,Disregard omitting
Person of great strength -- moon of Saturn ,titan,1,"Rhea (moon of Saturn, named after a mythical Titaness associated with motherhood and fertility)"
