CLUE,ANS,POS
Brought to an end,concluded,4
One hundredth of a yen ,sen,1
Force off ,repel,1
Able to move ,mobile,4
Roman goddess of love ,venus,1
Sunrise ,dawn,1
Redact ,edit,20
Make a copy or procreate ,reproduce,6
Restaurant,cafe,1
Line that intercepts a curve ,secant,4
Exclamation on making a mistake ,oops,10
Steal (goods) ,loot,8
Distinguished conductor,maestro,1
Characteristic pattern of symptoms ,syndrome,4
Aspiration ,ambition,4
Feeling one has seen something before ,deja vu,1
Large spoon with long handle ,ladle,1
Scorn ,disdain,2
Element discovered by the Curies ,radium,2
