CLUE,ANS,POS
Less than 50% or 18 ,minority,1
Hate ,loathe,4
Rocky island ,skerry,2
"Trounce, beat ",thrash,3
Rough drawing ,sketch,1
Grassy plains of South America ,pampas,1
Superficial ,cosmetic,11
Inland body of water ,lake,1
Continuous dull pain ,ache,2
Living thing,organism,20
Zimbabwean capital ,harare,1
Nearer in space or time ,closer,1
National song ,anthem,1
"Activate, wake up ",rouse,3
Gifts ,presents,1
Line of people ,queue,1
Column ,pillar,2
Strip ,undress,3
Fish ,herring,9
Climbing plant ,ivy,1
"Flinched, cringed ",winced,2
