CLUE,ANS,POS
Flowerless plants with feathery green leaves  ,ferns,1
Notable ,famous,1
Medicinal extract in a solution of alcohol,tincture,1
Physical aggression ,violence,14
Minute particle ,atom,2
Sit Cyril down - he's a songwriter ,lyricist,4
Boundless ,unlimited,2
"Eg, Riga natives ",latvians,1
Confined space for animals ,cage,1
Germanic ,teutonic,2
Period of time,era,10
Small pill or lozenge ,tablet,1
Object ,article,4
Improbable ,unlikely,1
Sound loudly ,blare,2
Ingenuous ,naive,1
Distance from the surface to the bottom ,depth,1
Frequented by a ghost ,haunted,1
