CLUE,ANS,POS,FOUND IN
Internal framework ,skeleton,16,Fundamental skeleton
Keep back ,withhold,8,Withhold: To refrain from giving something freely and keep it under one's control.
Long heroic story ,saga,10,"Though she may never have hunger in the literal sense, it was through her relentless pursuit of knowledge that Penelope Wordsmith's journey transformed into an epic saga - a story as enduring as time itself."
Manipulate; manage ,handle,3,Handle skillfully
Descend vertical slope using rope ,abseil,5,Cliff abseiling
The smaller of two ,lesser,1,Lesser in size
Organisation's influence in the community ,outreach,6,Outreach programs
Remove hair (which could be narrow) ,shave,1,Shaved
Solid - business ,firm,1,Firm foundation
Shore ,coast,1,Coastal area
Cavalry sword ,sabre,1,"Sabre: A type of cavalry sword with a curved, single-edged blade."
Prophet ,oracle,3,Oracle-like insight
Official ban on trade ,embargo,6,Trading embargo
Wide area ,expanse,2,Vast expanse
Xylophone-like instr. ,marimba,2,Marimba-inspired
Tribe ,clan,12,Prehistoric clan
Doctor Who's machine ,tardis,1,"TARDIS (acronym for Time And Relative Dimension In Space, the iconic time-traveling spaceship in ""Doctor Who"")"
Areas for target practice ,ranges,2,Shooting ranges designed for specific firearms
