CLUE,ANS,POS
Quickly and without warning ,suddenly,1
"Infuriated, outraged ",incensed,5
French helmet ,casque,1
Maritime,nautical,4
"Mount, ascend ",climb,1
Office; desk,bureau,3
Country in Indochina ,vietnam,4
Diminish ,lessen,4
Fixed to the spot like a plant ,rooted,3
Scottish dance ,reel,2
"Range, extent ",scope,3
Chaos ,mayhem,4
Substance exuded by acacia ,gum arabic,1
"Mockery, ridicule ",derision,1
Weapon store ,arsenal,1
Paid killer ,assassin,1
Innate ,natural,1
Naval officer ,admiral,1
