CLUE,ANS,POS,FOUND IN
Deed ,act,1,Act - A specific action or deed carried out by an individual.
One is apart (anag),separation,15,"Cognizant (being aware, which can imply a separation from ignorance)"
Happening without warning ,sudden,1,Suddenly
Not quite shut ,ajar,1,Ajar - partially opened or not fully closed
"W. B. --, Irish poet ",yeats,3,Ballad - Type of poem often associated with Irish poets like William Butler Yeats
Country and bird ,turkey,20,"Turkey (residing avifauna, including peafowls and turkey vultures"
Dickens book ` `Nicholas ........' ' ,nickleby,1,Nicholas Nickleby
Relating to mankind ,human,1,Humanity
French opera composer ,massenet,12,Jules Massenet
Hairy aromatic perennial herb strongly attractive to some pets,catnip,1,"Catnip (Nepeta cataria) - A member of the mint family, known for its strong smell and ability to attract cats."
