CLUE,ANS,POS
Warming alcoholic drink with sugar and spices ,mulled wine,1
Unclean or indecent ,dirty,2
Traveller not driving ,passenger,1
Soft leather shoes originally worn by Native Americans ,moccasins,1
Selection of small dishes served in Greek or Turkish cuisine,meze,1
F Scott Fitzgerald wrote ''The Great .....'' ,gatsby,1
"Animal fat used in candles, soap etc ",tallow,1
Military land force ,army,1
Austrian city where Mozart was born ,salzburg,1
Horse-drawn vehicle ,carriage,1
Barren ,sterile,3
Capable of being heard ,audible,1
Light resilient plastic made of polystyrene ,styrofoam,2
Acid - rancid,sour,3
Forearm bone ,ulna,2
Animal's lair ,den,1
