CLUE,ANS,POS
Heretofore ,hitherto,4
Illegal state in football ,offside,1
"Of fruit, skinned ",peeled,1
Madness ,lunacy,10
Wife of Ferdinand V ,isabella,2
Thespian ,actor,1
Serious crime ,felony,1
Orange vegetable ,carrot,1
Drowsy ,sleepy,1
Valuable ,precious,2
Believed to be guilty but without proof,suspected,1
Speak out against ,denounce,7
Not allowing light to pass through ,opaque,1
Inveigle ,entice,3
"Induces, prevails upon ",persuades,3
Oriental ,eastern,1
Grassy plains of Argentine ,pampas,1
Deep gorge or ravine ,canyon,2
Noise of an explosion ,bang,5
Tested or scrutinised ,examined,1
The islands of eastern Oceania ,polynesia,1
Map-line showing places with equal air pressure ,isobar,1
Pampas cowboy ,gaucho,2
Small biting fly,midge,7
"Hurting, painful ",sore,9
Lusterless or uninteresting ,dull,1
Altruistic,selfless,1
A fight or contest ,combat,5
Area of interest/activity ,realm,4
