CLUE,ANS,POS
Rabbit coop ,hutch,3
Soundless ,silent,1
Get off a horse,dismount,1
Blades of windmill or propellers ,vanes,8
"Guest, caller ",visitor,1
Vigour ,energy,2
"Torn apart, severed ",sundered,14
Ever ,always,4
Coterie ,clique,3
One of London's airports ,stansted,3
Organ of sight ,eye,1
"'Rut, groove (6)' ",furrow,10
Beatrix Potter character ,peter rabbit,1
Unruffled ,composed,2
Foolish talk ,twaddle,8
Builder's safety wear ,hard hat,1
Jealous emotion - deadly sin,envy,1
Baked dough ,pastry,3
