CLUE,ANS,POS,FOUND IN
Gloss - refinement,polish,1,"Polishing - Refining surface to a smooth, shiny finish."
Physical or mental capacity,strength,19,Strength (physical)
"British monarch, d. 1714",anne,3,Queen Anne (reigned from 1702 to 1714)
Relating to a form of government with power shared between the centre and the regions ,federal,1,Federalism
Gas or dust clouds in space ,nebulae,12,Planetary nebulae
"Tennis, football, shot ",volley,8,Volley - A shot in tennis where the ball is hit before it touches the ground on one side of the net
Local church community ,parish,1,Parishioners
Primate with a long tail ,monkey,5,Vervet Monkey
Remove skin as from apple ,peel,1,Peeler
Soft,gentle,18,Hair (human or animal) - Soft hairs found on humans and animals have a distinctively gentle feel when touched.
Group of houses ,estate,16,Housing estate
Louisiana cuisine ,creole,9,Chicken Creole - A dish of fried chicken served over rice in a flavorful tomato sauce.
Chemical indicator ,litmus,4,Litmus paper
"Assam, for instance ",tea,1,Tea (Assam tea is one of the most popular types)
Highest ,tallest,13,"Skyline (view of urban cityscape from above, often referring to tallest buildings)"
