CLUE,ANS,POS
Kill by piercing with a spear or sharp pole ,impale,1
Ethiopian capital ,addis ababa,1
Patch up or renovate ,revamp,3
Like no other ,unique,10
Paid heed,attended,1
Madness ,insanity,1
Latticework to support plants ,trellis,1
Relating to love ,romantic,2
Percussion instrument ,marimba,8
Tree trained to grow against wall,espalier,1
Dairy product ,cheese,1
"Flourish, do well ",prosper,10
Understanding ,enlightenment,10
Male relative ,grandson,9
West African republic,niger,13
Head of abbey ,abbot,1
Divided skirt ,culottes,2
Material for pottery ,clay,2
Immeasurably bad ,abysmal,2
Treat cruelly ,oppress,8
Large ocean fish ,marlin,3
Irish county and port ,limerick,3
Strong drive for success ,ambition,2
