CLUE,ANS,POS,FOUND IN
India rubber ,eraser,12,"Eraser (commonly made of rubber, often associated with school in India)"
One-horse carriage,gig,10,Gig (as in horse-drawn passenger vehicle)
Denver's state ,colorado,1,"Colorado (""Denver"" is the capital city, which hints at its state)"
Underdone ,rare,5,Rare (meat not fully cooked)
Supply (with items) ,equip,4,Equipped with supplies
Cylinder,tube,6,Test tube (cylindrical lab equipment)
Painful muscle contraction ,spasm,2,Spasms
New England state ,maine,2,Maine (ME)
Mountainous Welsh region ,snowdonia,1,"Snowdon (the highest mountain in Wales, though not a region itself but part of Snowdonia National Park which is located within the mountainous area)"
Pure whisky,malt,2,Single malt
