CLUE,ANS,POS,FOUND IN
"Eg, beehive or mullet ",hairdo,1,Beehive (hairdo)
Finlandia composer ,sibelius,1,Jean Sibelius
Man-made lake or tank,reservoir,2,Human-made reservoir
Start ,begin,1,Beginning
Curt ,terse,16,Tersely worded
Look this way with suspicion ,askance,9,Look askance at
Sling your hook!,get lost,4,Get lost!
(Walk with) a stiff pompous gait ,strut,1,Strutting
False excuse ,pretext,7,Shallow pretext
Saint and King of Norway ,olaf,2,Olaf IV
Carries out orders ,obeys,1,Obeys instructions
