CLUE,ANS,POS
"Prospect, view",vista,4
Social insect ,ant,1
Farm vehicle ,tractor,1
"Courting, romancing ",wooing,1
"Levy, inflict ",impose,3
Male relation ,uncle,5
Not damaged in any way,intact,6
Insincere support ,lip service,5
Wartime safety device ,gas mask,1
Giving way ,yielding,2
Of scientists involved in legal investigations,forensic,1
Small bird; architect ,wren,1
Forgive ,excuse,1
Antelope,impala,3
Gift; here ,present,1
Shelter (for ships),haven,7
Large African mammal,hippopotamus,4
Become more rigid,stiffen,1
Chic ,elegant,9
Ball game ,tennis,6
Face,visage,2
Church caretaker ,verger,2
Spring back ,bounce,2
Concave - sunken ,hollow,3
Gourd fruit ,melon,3
