CLUE,ANS,POS,FOUND IN
Assert one's right to,claim,3,Claim ownership
Zodiac sign ,aquarius,11,Aquarius (January 20 - February 18)
Be at odds,disagree,3,In disagreement
The Roman emperor said to have made his horse a consul,caligula,1,"According to historical accounts, Caligula was known for his eccentric and cruel behavior, and one of his most notorious acts was appointing his favorite horse, Incitatus, as a consul"
"Beliefs, dogmas ",tenets,3,Non-negotiable tenets
Travelling company of entertainers ,circus,12,Traveling circus
Broad smile,grin,1,Cheeky grin
Italian poet ,dante,1,Dante Alighieri
Business room - position of responsibility or duty,office,7,CFO (Chief Financial Officer)
Affectedly polite and refined ,genteel,7,Genteel with a hint of snobbery
Scottish residence of the British royal family ,balmoral,1,Balmoral Castle
