CLUE,ANS,POS,FOUND IN
Hang (provocatively) ,dangle,2,Dangle precariously
Fianc?(e) - proposed ,intended,7,Intended spouse
Narrow road ,lane,6,Limited lane
Children's periodical ,comic,3,Comic book
Extra payment ,bonus,1,Bonus paycheck
Peak (of cap); be very full ,brim,7,Brimming with food
Hold spellbound ,enthral,12,Enthralling
Between red and yellow ,orange,1,orange! Am I correct?
Metal joint,weld,10,Welded seam
"Call on, go to see ",visit,2,Pay a visit
Best possible,ideal,9,Ideal situation
