CLUE,ANS,POS
Conveyance for transport ,vehicle,1
They need to be scratched ,itches,1
Single cash payment ,lump sum,1
Country dweller,villager,2
Herb - boy's name,basil,2
Point directly overhead ,zenith,1
Moves unsteadily ,wobbles,1
Performance venue ,arena,5
Dirt on a liquid's surface ,scum,2
Young eel ,elver,1
Reflective surface,mirror,1
"Glass triangle, separates light into colours ",prism,1
Bluish shade of green ,teal,1
Sheltered terrace attached to a house ,veranda,2
Heartfelt,sincere,2
Booth; prevaricate ,stall,5
