CLUE,ANS,POS,FOUND IN
"Honourable, sincere ",honest,8,Decisively honest
Row; level ,tier,12,Tiered
Move; garment ,shift,1,Apparel shift
Spray can ,aerosol,1,Aerosolized liquid
Effortless ,easy,9,Easy peasy
Passing through the middle of Medina ,median,7,Median crossing
A small quarrel ,spat,9,Light spat
Allow fresh air to circulate ,ventilate,9,Cross-ventilated area
Improper application ,misuse,1,Misused resource
"Connecting, putting together ",linking,14,Linking parts
Feel indignation at ,resent,15,Resentful
Hazard ,peril,3,Perilous
Place of execution ,gallows,3,Gallows site
Of wolves ,lupine,3,Lupine species
Flightless bird,emu,5,Emus
Hollywood award ,oscar,3,Oscars
Festivity ,gala,17,Gala event
Beelzebub ,satan,7,Satanic trickery
