CLUE,ANS,POS
Moisture condensed at night ,dew,1
Tosca composer ,puccini,2
Planet second nearest to the sun ,venus,1
Stick out ,protrude,1
Deep red spice,paprika,3
Item inserted in a written record ,entry,1
One who watches ,viewer,2
Unrest - upheaval ,turmoil,4
Permissive,tolerant,2
Lloyd Webber musical ,evita,4
Every year ,annually,1
Scottish estuaries,firths,1
Set on a particular musical note ,pitched,3
Calling for immediate attention,urgent,1
New England state ,maine,6
Glowing in the dark ,fluorescent,14
