CLUE,ANS,POS,FOUND IN
The first man ,adam,1,Adam (from the Bible)
Mischievous fairies ,elves,10,Giggly elves
"About, here and there ",around,7,Situated around
Breaking waves ,surf,9,Surfacing
A stand in a market-place ,stall,9,Stallholder
Place of religious seclusion,cloister,18,Cloistered space
Epic - legend ,saga,8,Inspiring saga
Body part and the nerve to do something,neck,8,Neck and the nerve to hold your head high with pride
Cutters ,knives,3,Knives (for cutting various materials)
Part of a billiard table,pocket,11,Pocketless surface
Representative; token ,symbolic,13,Symbolic object
