CLUE,ANS,POS,FOUND IN
Weighty book ,tome,1,Heavy tome
Extremely wicked ,evil,2,Evil-doer
English composer ,purcell,4,Henry Purcell
Fond of games ,playful,6,Playful personality
Picked,chose,2,Chosen
"-- Rodin, French sculptor ",auguste,2,Auguste - a common diminutive of Rodin's name in France or elsewhere.
Occurrences ,events,15,Events (in historical accounts)
International treaty ,pact,5,Worldwide pact
Missive ,letter,1,"Written communication, especially in the form of letters or diplomatic correspondence"
Reduce by a factor of two ,halve,3,Halved
Surviving fragment,remnant,1,Remnants
