CLUE,ANS,POS
Accomplished ,achieved,1
Part of a church sounds roguish ,nave,10
Homerian epic ,odyssey,2
Counterpart of yang ,yin,1
Great poet of ``Paradise Lost'' ,milton,1
Theft crime ,robbery,1
"Valiant, courageous ",heroic,15
Talk incessantly ,chatter,1
Imperial land measurement ,acre,1
Small sheltered bay ,cove,1
In short supply ,scarce,13
Dreamlike ,surreal,13
Planet ,venus,2
Not closed or secret ,open,1
Many-headed foe of Hercules ,hydra,3
Mishap ,accident,1
Man or beast ,animal,15
Porous substance to soak up ,sponge,17
Joyous ,blissful,1
Short poem ,rhyme,14
