CLUE,ANS,POS
Columnist who replies to readers' letters,agony aunt,4
Pieces of broken glass ,shards,1
Animal or vegetable pouch,sac,14
Belonging to them ,their,6
Young cow ,calf,1
(Of beer?) available ,on tap,1
Building for travellers ,hotel,4
Person who jeers speaker from the crowd ,heckler,1
"Uninvolved, distant ",aloof,1
Way of bearing one's body ,posture,2
Spud ,potato,1
Science of controlled breeding ,eugenics,3
Vegetable resembling celery,fennel,12
Legal enactment ,statute,1
Gift (to charity) ,donation,1
"Examined, tried ",tested,1
"Keenness, avidness ",eagerness,1
