CLUE,ANS,POS
Makes comprehensible ,explains,2
Monstrous creature ,behemoth,1
Baby's plaything,rattle,1
Foreign (from outer space?),alien,1
Roman goddess of the hunt ,diana,1
"Bold, audacious ",daring,1
Immature form of an insect ,nymph,2
Luscious ,delectable,8
Resembling soil,earthy,1
Politically-inspired murder ,assassination,1
Refusal to accept an unpalatable truth ,denial,1
"Abnormal, aberrant ",atypical,6
Altered ,adapted,2
"Southern German state, famous for its beer ",bavaria,1
Christian festival period ,eastertide,13
New York City borough,brooklyn,2
