CLUE,ANS,POS
Cultivated plot of ground ,garden,1
Particular feature ,aspect,8
Waterway ,canal,1
Chaser of criminals for reward ,bounty hunter,1
Wooden or metal mat pin ,skewer,9
Lights in transparent cases ,lanterns,5
Type of savoury tart ,quiche,1
Vocalist ,singer,1
"Put down, degrade (6). ",demean,16
Ungenerous,stingy,1
Forbearing ,tolerant,2
Decay in teeth ,caries,2
"Hat, for a country-and-western singer perhaps",stetson,7
"Beg, ...... or steal - get at all costs ",borrow,1
Power of creative thought ,imagination,4
