CLUE,ANS,POS
Old or ageing ,elderly,8
Bring a baby off mother's milk ,wean,1
The first man ,adam,1
Hang around ,loiter,2
Mischievous fairies ,elves,3
State ,condition,1
Style; refinement ,elegance,1
Disgorged ,ejected,8
Religious man ,monk,7
Breaking waves ,surf,1
A stand in a market-place ,stall,1
Place of religious seclusion,cloister,5
Illegal ,illicit,1
Epic - legend ,saga,2
Pressure or emphasis ,stress,1
"Functional, handy ",useful,1
Leading article ,editorial,8
Conceal ,hide,1
Boundary; maximum ,limit,6
Frame of vehicle ,chassis,1
Card game ,canasta,5
Caribbean isle ,haiti,9
Adhesive - muggy,sticky,2
Cutters ,knives,3
Baby frogs ,tadpoles,1
Modify ,alter,1
Knock down (building) ,demolish,1
Slender - refined,svelte,3
Part of a billiard table,pocket,2
Nearer ,closer,1
Requiring hard work ,arduous,3
Crustacean ,crab,1
