CLUE,ANS,POS
Combination ,union,9
Talon ,claw,1
Degree document ,diploma,1
Young horse ,colt,1
Catty ,bitchy,3
Showy flower ,orchid,1
"Deadlock, stalemate",impasse,2
Assumed name ,nom de guerre,14
Teesside town ,middlesbrough,1
Colour for aristocracy or emperors ,purple,1
Group of states ruled by one ,empire,1
Outshine ,excel,5
Flock,herd,5
Night-flying insect ,moth,1
Spiny succulent ,cactus,1
Imaginary place of great wealth and opportunity ,el dorado,2
Place for steam treatment ,turkish bath,4
Cosmos ,universe,1
Encourages,urges,7
"Detached, kept apart ",isolated,2
"Tall building of offices, flats ",tower block,2
