CLUE,ANS,OUTPUT
Insincere show-off ,poseur,"['Braggart', 'Boastful', 'Show-off', 'Grandstander', 'Ostentatious', 'Puffy-headed', 'Self-important', 'Pretentious', 'Poser', 'Swaggerer', 'Flashing', 'Boastful braggart', 'Puffery', 'Pomposity', 'Grandiosity', 'Self-aggrandizing', 'Show-offish', 'Supercilious', 'Smug', 'Arrogant']"
Incrimination of someone on a false charge ,frame-up,"['Fabrication', 'False accusation', 'Malicious prosecution', 'Baseless charge', 'Fabricated evidence', 'False testimony', 'Perjury', 'Misinformation', 'Smear campaign', 'Railroading', 'Witch hunt', 'False charge', 'Baseless indictment', 'Malicious charge', 'Fabricated case', 'False criminalization', 'Baseless allegation', 'Invented crime', 'False labeling', 'Sensationalism']"
Suave ,urbane,"['Charismatic', 'Dapper', 'Graceful', 'Polished', 'Smooth', 'Sophisticated', 'Stylish', 'Slick', 'Smooth-spoken', 'Suave', 'Articulate', 'Debonair', 'Expressive', 'Fluid', 'Magnetic', 'Polished', 'Refined', 'Smooth-flowing', 'Dapper', 'Elegant']"
"What about it, it's unimportant ",no matter,"['Trivial', 'Petty', 'Insubstantial', 'Negligible', 'Anemic', 'Frivolous', 'Insignificant', 'Superficial', 'Trifling', 'Banal', 'Pointless', 'Unimportant', 'Negligible', 'Irrelevant', 'Superfluous', 'Frivolous', 'Light', 'Passing', 'Trivial', 'Inessential']"
Thin and easily torn ,flimsy,"['Paper', 'Fabric', 'Lace', 'Linen', 'Netting', 'Foil', 'Wrapper', 'Sheet', 'Film', 'Wrapper', 'Paper towel', 'Tissue paper', 'Plastic wrap', 'Wallpaper', 'Silk', 'Bamboo', 'Cellophane', 'Crepe paper', 'Newspaper', 'Cardboard']"
Unsafe through neglect,derelict,"['Abandoned', 'Neglected', 'Overlooked', 'Overburdened', 'Disregarded', 'Ignored', 'Uncared for', 'Overlooked', 'Left in ruins', 'Deserted', 'Abandoned', 'Neglected', 'Overlooked', 'Unkempt', 'Unattended', 'Discarded', 'Neglected', 'Overlooked', 'Left to decay', 'In ruins']"
Swarm of insects ,plague,"['Locusts', 'Beetles', 'Ants', 'Bees', 'Flies', 'Mosquitoes', 'Midges', 'Gnats', 'Wasps', 'Hornets', 'Caterpillars', 'Beetles', 'Aphids', 'Whiteflies', 'Midges', 'Bees', 'Dragonflies', 'Butterflies', 'Moth', 'Beetle larvae']"
Driver's violent anger ,road rage,"['Rage', 'Wrath', 'Fury', 'Ire', 'Aggravation', 'Incensed', 'Livid', 'Fuming', 'Boiling', 'Seething', 'Choleric', 'Bellicose', 'Hostile', 'Aggressive', 'Combative', 'Antagonistic', 'Irascible', 'Furious', 'Intemperate', 'Potent']"
Fruit with green flesh ,avocado pear,"['Avocado', 'Lime', 'Lemon', 'Grapefruit', 'Mango', 'Kiwi', 'Green apple', 'Green pear', 'Gooseberry', 'Strawberry', 'Elderberry', 'Limequat', 'Yuzu', 'Mangosteen', 'Carambola', 'Jackfruit', 'Feijoa', 'Green dragon fruit', 'Dragon fruit', 'Starfruit']"
Pleasant to look at ,easy on the eye,"['Aesthetic', 'Appealing', 'Beautiful', 'Charming', 'Colourful', 'Exquisite', 'Gracious', 'Lovely', 'Pleasing', 'Pretty', 'Radiant', 'Ravishing', 'Splendid', 'Sublime', 'Striking', 'Tapered', 'Transcendental', 'Wistful', 'Graceful', 'Enchanting']"
