CLUE,ANS,POS,FOUND IN
This doctor deals in political publicity ,spin,1,Spin doctor
Pig's foot ,trotter,18,Hogs' trotter
Rupture ,hernia,15,"Herniation (e.g., umbilical hernia)"
Rider's seat ,saddle,2,Saddle position
Wooden pin ,peg,8,Post peg
Shout ,yell,1,Yell loudly
Habituate ,inure,4,Inured
Traverse ,cross,1,Cross the threshold
City of northern Italy ,milan,1,Milanese
"Bag, pouch; cyst ",sac,1,Sack
Adhere ,stick,6,Sticking closely
Fieldmouse,vole,3,Meadow vole
"- Garbo, Swed. actress ",greta,20,Empress of the silver screen (a classic nickname for Greta Garbo)
Sore ,painful,19,Painful sensation
