CLUE,ANS,POS
Therefore ,hence,3
Comparable (to) ,analogous,2
Supply food ,cater,6
One without mother or father ,orphan,9
A conductor wields it ,baton,1
Sediment ,lees,9
Pamphlet giving information ,leaflet,3
It's imagined ,idea,10
Harsh ,severe,2
Individual unit in a list ,item,1
Divided peninsula ,korea,1
Land jutting into sea ,point,4
Make young again ,rejuvenate,1
Performs surgery ,operates,1
Capital of Nebraska ,lincoln,1
Favouring separation from a church ,schismatic,20
Corkscrew shape ,spiral,1
Track,path,1
Job favouritism shown to relatives ,nepotism,1
Ultimate ,last,6
"Sudden, short attack ",raid,5
Distinguish oneself -- XL ,excel,1
Tanned animal skin ,leather,1
Superior skill,artistry,10
Uppermost point ,apex,1
In danger ,at risk,7
Implements ,tools,1
Cheat ,swindle,2
A fool being cool and remote ,aloof,1
Interfere ,meddle,1
Simple - computer language ,basic,1
Reject ,spurn,4
Loafer ,idler,3
Hole for e.g. coin ,slot,2
Hearing attentively ,listening,1
Forever,eternally,1
Adoration ,worship,1
Reddish-brown,chestnut,9
