CLUE,ANS,POS
Farthest - to the highest degree,extreme,5
Cylindrical container ,canister,3
Vagrant ,hobo,16
Not sorry,unapologetic,2
Conceited ,vain,8
Medical treatment ,therapy,3
Buying goods ,shopping,2
Rage ,fury,1
Theft ,larceny,2
Soundless ,silent,1
County of southern England ,dorset,1
Supposed loch monster ,nessie,2
Family member by marriage ,brother-in-law,4
Bold and daring ,audacious,1
Group of items of the same kind ,set,7
Andalusian gypsy music ,flamenco,1
Discuss no further - dismiss - release ,let go,4
Licentious - dissolute ,immoral,3
Masticated ,chewed,1
"Break free, get away ",escape,1
"Attentive, watchful ",alert,3
