CLUE,ANS,POS
Sell (goods) to the public ,retail,1
Matador ,bullfighter,1
Taking (of thing) away ,removal,2
Public speaker ,orator,1
Russian river,volga,1
Pain in the mouth,toothache,1
Commonest lead ore ,galena,4
Having reading disorder ,dyslexic,1
Religious order member ,monk,1
Percussionist ,drummer,1
Friend ,pal,4
Tragic Shakespeare hero ,romeo,3
Lump (of gold) ,nugget,1
Mormon place of worship ,tabernacle,3
Inhabitant,resident,1
Horizontal bar in ladder ,rung,3
Past ,history,3
Strip of fabric to absorb perspiration ,sweatband,8
Mollusks with two shells hinged together ,bivalves,1
Falsehood ,lie,1
Opposite of creditor,debtor,1
Be lord over,dominate,1
Adam and Eve's third son ,seth,1
Printed symbol as organisation's emblem ,logo,3
One has outstanding creative or intellectual ability ,genius,2
"Grows, progresses ",develops,1
Ceramic rectangle ,tile,1
Natural environment for an animal ,habitat,1
Decree by authority,edict,5
Backs or approves of ,supports,2
Religious head covering ,turban,2
Brae ,hillside,1
