CLUE,ANS,POS
Group of fish ,shoal,2
Drawings showing how things work ,diagrams,1
Fast-moving stream ,torrent,2
In a happy mood ,cheerful,7
Pig meat ,pork,1
Bell tower ,belfry,2
"Arrogant pride, from the Greek ",hubris,1
American snake (informal) ,rattler,1
Hold affectionately ,embrace,5
"Alleviates, relieves ",eases,2
Universe ,cosmos,1
Magical or medicinal potion ,elixir,1
Continent ,asia,2
Wash ,bathe,4
Forgetful ,absent-minded,1
Unhurried and relaxed,laid-back,16
Periods of activity ,sessions,4
Limiting (a supply) ,rationing,1
Event causing great damage ,catastrophe,1
Small insect ,gnat,9
Resolve; come down ,settle,1
