CLUE,ANS,POS,FOUND IN
Tramp ,vagrant,3,Wandering vagrant
Formal headdress,top hat,15,Top hat (traditionally associated with formality and high-status events)
Book of maps ,atlas,2,Atlas series
Blunder ,err,2,Error
Penetrate ,pierce,1,Pierce through
Sphere of activity ,domain,1,Occupational domain
"Gyrate, reel ",spin,1,Spinning
Walked (on) ,trod,2,Trodden
Image to which people are expected to conform,stereotype,9,Stereotyped image
Flower container,vase,4,Vase-shaped buds
Blame for a crime ,accuse,1,Accused
Female title; panto part ,dame,8,Glamorous Dame
Short time - magical incantation ,spell,4,Fleeting spellcasting
