CLUE,ANS,POS
Motionless ,static,2
Musical speed ,tempo,1
Nickname for US snake with horny segments in its tail,rattler,6
Child of first eight weeks in womb ,embryo,2
Humble ,lowly,4
Aristocratic ,noble,1
Slow tempo ,adagio,1
A wide-mouthed water jug ,ewer,5
Sign of the lion ,leo,1
Lifted ,raised,1
Spoken test,oral,3
Near the ground ,low,1
"Nurse, nun or relation ",sister,1
Army unit ,regiment,6
Shape produced by curve that crosses itself ,loop,2
Booted out of office ,ousted,3
Warm and cosy ,snug,2
Cock ,rooster,1
Human beings ,people,1
Happen to,befall,1
Everlasting ,eternal,1
Over and above ,extra,2
Hold sacred ,enshrine,13
Distance north or south of the equator ,latitude,1
Consume ,eat,1
Megalithic monument ,cromlech,15
Game bird ,snipe,6
"Piece of crockery, maybe flying ",saucer,2
Primary blue colour in printing ,cyan,1
Thought ,idea,1
"'Seasonal wind in southern Asia, brings heavy rains (7)' ",monsoon,1
Reek ,stink,1
