CLUE,ANS,POS,FOUND IN
Old sailors' dance,hornpipe,1,Hornpipes
"Amount, aggregate ",sum,1,Total sum
Barred enclosure for animals ,cage,13,"Caged aviary (specific to birds, may not always imply barring)"
Mischievous fairy ,pixie,3,Tricky pixie
Least powerful ,weakest,1,Weakest link
Expressive movements ,gestures,1,"Gestures: Using hand or body motions to communicate ideas, emotions, or intentions without verbal language."
A bonus ,plus,4,Unscheduled surplus
Great Greek author of the Odyssey ,homer,1,"Although his existence and literary accomplishments are subjects of scholarly debate due to the lack of concrete historical evidence, Homer's works have had an enduring impact on Western culture."
Leafy dishes ,salads,1,Green salads
Laces a province in France ,alsace,6,"Alsace: Located on France’s eastern border with Germany, this province is famous for its unique blend of Germanic and French cultural influences, delicious cuisine, and stunning architecture in cities such as Strasbourg."
Intoxicating drink ,alcohol,1,Alcoholic beverage
Carve etc so as to raise from surface ,emboss,13,Emboss (raising a design on an object's surface)
Prototype ,original,9,Original plan
One from Salonika ,greek,7,Ancient Greek legacy
Probity ,righteousness,15,"Moral rectitude: The quality of having high standards in terms of righteousness, fairness, and justice; being morally upright without any hint of wrongdoing or unethical behavior."
In full view,openly,2,Openly accessible
Prison accommodation,cell,7,Prison cell blocks
Song from an opera ,aria,1,"Aria - An aria is a solo vocal piece, typically found in operas, often expressing the thoughts or emotions of a character."
