CLUE,ANS,POS,FOUND IN
Eucharistic cups ,chalices,20,Liturgical chalices
Riverside construction ,boathouse,10,Boathouses
Pay a casual visit unannounced ,drop in,16,Drop in unexpectedly
Rough calculation ,estimate,10,Inaccurate estimate
Star sign ,virgo,7,Virgo (August 23 - September 22)
Tennis court feature ,net,1,"Net: A net that divides the court into two halves, with a height of 3 feet 6 inches (1.07 m) in the center and 3 feet (0.91 m) at the sides."
Egyptian goddess ,isis,1,"Isis - Goddess of motherhood, magic, and fertility"
"The universe, all things ",creation,19,The unending scope of creation
Bed of sedimentary rock,stratum,9,Geological stratum
"Omar ..., film actor ",sharif,1,Omar Sharif
Wrongly understand ,misinterpret,18,Misinterpreted
