CLUE,ANS,POS,FOUND IN
Piece for eight players ,octet,1,Octet (music for eight players)
Elicit ,evoke,9,Evoke information from someone through prompts or cues
Short-lived fad ,craze,7,Ephemeral craze
Concerning the self ,personal,16,Personal growth
Informal goodbye; see you ,so long,5,So long!
A mixture of rain and snow ,sleet,8,Sleety
Formal address or discourse ,speech,11,Gala occasion speech
W.E. Johns hero,biggles,1,Bigglesworth
One thing among many ,item,4,A single item in a collection
Look secretly ,peep,5,Take a peep
Italian mister ,signor,1,Signore
Memorandum ,note,1,Official note
