CLUE,ANS,POS
Raise ,elevate,1
Green public spaces ,gardens,2
"Beginning, start ",outset,10
Discolorations or dirt marks ,stains,2
Greek god of the sea ,poseidon,1
TV motoring programme ,top gear,1
A cloche (anag) - spiral cavity of the inner ear,cochlea,1
"Requires, is in want of ",needs,1
Falsehood ,lie,1
Aperture ,window,5
Fermented grape juice ,wine,1
Young woman entering society ,debutante,1
Birds of prey ,eagles,4
Unwell ,ill,3
Hitchcock film ,the birds,4
Lends a hand ,assists,1
Foe,enemy,1
Moroccan stew cooked in a pot with a conical lid ,tagine,1
Adversary ,opponent,5
Oblivious ,unaware,1
"Brought up, nurtured ",reared,2
"American state, capital Montgomery ",alabama,1
"Surreptitious, furtive ",stealthy,1
Specialised school,academy,2
"Plead, implore ",beg,1
Tenth month,october,1
"Metal, symbol Cr ",chromium,1
Hearth ,fireplace,1
"Awful, dreadful ",terrible,2
Backs of legs ,calves,2
Wordy ,verbose,2
(In medicine) an alcoholic solution of a drug ,tincture,1
Small mound from burrowing ,molehill,3
Town in Surrey ,woking,1
Difficulty in reading and spelling ,dyslexia,1
Stronghold ,fortress,1
