CLUE,ANS,POS
Cab ,taxi,1
Endeavours ,attempts,2
Conference participant ,attendee,1
"Ballroom dance, originally from Germany",waltz,1
Constantly changing ,dynamic,10
"Small, particular part ",detail,11
Country and porcelain ,china,1
Science of soil and crops ,agronomy,1
Unsightly ,ugly,1
Winter sport where stones are slid towards a target,curling,1
Material worn knotted round throat,necktie,2
Cricket fielding position,mid-off,11
"Roman Emperor, d. 117",trajan,2
Family relative ,nephew,5
Oneness,unity,1
