CLUE,ANS,POS,FOUND IN
"Courting, romancing ",wooing,2,Wooing   
Underground cemetery ,catacomb,1,Catacombs
Wartime safety device ,gas mask,2,Gas masks
Of scientists involved in legal investigations,forensic,1,Forensic Scientist
Small bird; architect ,wren,3,Wrenarchitect
Gift; here ,present,1,Present  
George Eliot novel ,daniel deronda,5,Daniel Deronda  
Face,visage,1,Visage  
One consuming ,eater,17,Indiscriminate eater
Large deer ,caribou,15,Caribou (also known as reindeer in North America)
"Stage entertainment with sketches, songs and dance ",revue,2,Musical revue
