CLUE,ANS,POS,FOUND IN
Sense organ ,ear,2,Ears
The home of sherry ,jerez,1,Jerez de la Frontera (Spain)
Skip and dance ,caper,9,Bound and caper
Testament or determination ,will,16,Willpower
Cinema attendant ,usher,4,Movie theater usher
Deuce ,two,3,Two-some
Whisper,murmur,3,Quiet murmur
"Declare confidently, promise ",assure,2,Self-assured statement
Song of loyalty ,anthem,8,Anthem of constancy
Noble gas used in illuminated signs ,neon,1,Neon (most commonly used)
Peter Pan author ,barrie,3,Sir James Matthew Barrie
