CLUE,ANS,POS
Promissory note ,iou,1
Canine guard ,watchdog,1
Homerian epic ,odyssey,2
Theft crime ,robbery,1
"Valiant, courageous ",heroic,2
Imperial land measurement ,acre,1
Small sheltered bay ,cove,1
In short supply ,scarce,1
Dreamlike ,surreal,1
Planet ,venus,4
Not closed or secret ,open,2
Many-headed foe of Hercules ,hydra,1
Mishap ,accident,1
Man or beast ,animal,2
Porous substance to soak up ,sponge,4
Of spring ,vernal,4
Problem solving ,troubleshooting,10
Joyous ,blissful,11
