CLUE,ANS,POS
"Open, up front ",overt,9
Small rocket engine for spacecraft control ,thruster,1
Band of colours in a rainbow ,spectrum,1
"Barricade, railing ",barrier,8
Gambling game ,roulette,1
Cressida's Shakespearean lover,troilus,1
Capable of lasting ,durable,4
Flower arrangement ,bouquet,1
"Dalai . . . ., chief priest and once ruler of Tibet ",lama,1
Monster of Crete,minotaur,1
Side of London associated with Cockneys ,east end,1
Circular frame with spokes,wheel,1
Main part of concert hall ,auditorium,1
The concluding part of a performance ,finale,1
Climb ,ascend,1
Charlotte Bronte novel ,jane eyre,1
Plundered ,looted,5
-- Welles ,orson,1
Oriental mushroom; E ikon (anag.) ,enoki,1
Rabbit burrow ,warren,2
