CLUE,ANS,POS,FOUND IN
It carries genetic information ,dna,3,DNA (Deoxyribonucleic acid)
Arthur's sorcerer ,merlin,2,"Merlin, the Magical Sage"
Ronnie Scott's music?,jazz,1,Jazz bassist
Old Crusader Knight ,templar,9,Templar fighter
Ancestor ,forebear,10,Forebearer
Area of bad housing ,slum,1,Slums
Abject ,wretched,5,Wretched circumstances
"Greek philosopher (Poetics, Politics) ",aristotle,3,"Aristotle: A towering figure in Western philosophy who contributed extensively to diverse fields, from metaphysics, epistemology, ethics, and logic to natural sciences and politics"
Dishevel - annoy,ruffle,10,Ruffled composure
Unwrinkled ,smooth,2,Crisp and smooth
Males ,men,16,Gentleman (as a compliment or respectful term)
Egyptian port and canal ,suez,3,Suez Canal
Impenetrable mist ,fog,1,Dense fog
It obstructs or hinders ,obstacle,15,Frustration (often resulting from an obstacle)
