CLUE,ANS,POS
Sloping - likely ,inclined,1
Workplace representative of unionised employees ,shop steward,4
Unit of power ,watt,1
Rubber covering on a wheel ,tyre,4
Pet rodent ,gerbil,4
Shack ,hovel,7
State in eastern Germany ,saxony,5
"Tiny organisms, can be good or bad ",bacteria,2
Small square tile used in mosaics ,tessera,1
Hindu sage or saint ,rishi,1
Not fully developed ,immature,1
Seaside resort in Denbighshire ,rhyl,4
Incompetent or awkward ,inept,1
Personal teacher ,tutor,4
US horse race,kentucky derby,3
