CLUE,ANS,POS,FOUND IN
Occupant ,resident,11,Lodging resident
Hang (provocatively) ,dangle,1,Seductively dangle
Fianc?(e) - proposed ,intended,3,Intended spouse
Still mysterious despite investigation,unexplained,9,Unexplained phenomenon
Trainee officer ,cadet,17,Cadet cop
Santa tour for space traveller ,astronaut,7,Dock at the International Space Station for some holiday cheer with the astronauts and cosmonauts on board.
Peak (of cap); be very full ,brim,12,Brimming
Roman goddess ,venus,6,"Venus (goddess of love, beauty, and fertility)"
Metal joint,weld,18,Socket weld
"Verify, examine ",check,7,Check thoroughly
