CLUE,ANS,POS
Very loud and shrill,ear-splitting,15
Difficult and tiring,arduous,7
Young hens,pullets,1
"Hard, spicy beef and pork sausage ",pepperoni,3
City thoroughfare ,street,2
Godparent ,sponsor,1
Clarified butter,ghee,1
A really foul smell ,stench,13
Cherubic,angelic,11
Get on - governing body ,board,7
State of equilibrium ,balance,1
One of the Twelve Apostles ,thomas,8
It's said to be the best medicine ,laughter,4
Fomenter of unrest ,agitator,1
Church minister's house ,manse,3
Asian republic ,laos,9
