CLUE,ANS,POS
A pair of performers ,duo,1
Sheaths for guns ,holsters,1
Mitigate; forgive ,excuse,2
"Inherent ability, natural talent ",aptitude,1
Elegant British tree,silver birch,22
Powerful falcon ,peregrine,2
Devon river ,exe,1
Lightest and most abundant of all substances,hydrogen,19
Israelite leader betrayed by Delilah ,samson,1
Gossamer trap,cobweb,2
Spanish gentleman ,hidalgo,5
Take issue with ,disagree,1
Association of sports teams ,league,1
Second-hand ,worn,20
Abstract or general ideas ,concepts,1
Elliptical figure,oval,19
Nut ,cashew,3
Frocks ,dresses,1
Room to manoeuvre ,leeway,5
Responsive to stimulus ,reactive,2
All right ,okay,1
Complacent ,smug,4
Broken-off end ,stub,1
