CLUE,ANS,POS,FOUND IN
Lockjaw ,tetanus,4,Tetanus-induced rigidity
Sailors' dance ,hornpipe,4,Hornpipe dancing
Unwelcome intrusion ,invasion,11,Invasion of privacy (related concept)
Depressed ,blue,1,Blue mood
Unit of current ,amp,1,Ampere
Forswear ,abjure,16,"Abjure (to formally renounce something, especially on religious grounds)"
Cited (anag) - proclamation,edict,10,Cited within an edict or mandate
One sure to win (slang) ,cert,2,Certain bet
Halcyon -- yellow ,golden,1,Golden hue
Animal with two feet ,biped,1,Bipedal animal
Composed of three parts ,ternary,11,Ternary division (used in various fields including logic and mathematics)
Developing in small steps ,gradual,1,Gradual progress
That man's ,his,14,youthful (contradicting his actual older appearance)
Like lawns or pasture ,grassy,1,Grassy terrain
Pupil - erudite person ,scholar,1,Scholarly student
Bomb fragments,shrapnel,1,Shrapnel pieces
London Cockney area ,east end,17,"Scallywag (a troublesome person, sometimes used playfully among friends in East End areas)"
Venom ,poison,1,Poisonous bite
