CLUE,ANS,POS
"Principle, belief ",tenet,2
Concur ,agree,1
Meat from pig ,bacon,3
"Thomas -, Death in Venice author ",mann,1
Enclosed piece of territory ,enclave,1
Novel by Flaubert,madame bovary,1
Epidemic ,plague,4
Dwelling-places ,homes,1
Way out ,exit,4
English county ,yorkshire,2
"Pure, hygienic ",clean,5
Having no predetermined limit ,open-ended,20
Five-toed pachyderm ,elephant,1
Stuff - mean something,matter,3
Nocturnal insect ,moth,1
Prohibited by religion or custom ,taboo,2
Clothed ,clad,6
Moscow citadel ,kremlin,1
Strong drive for success ,ambition,1
Young cattle ,calves,1
Musical symbol indicating pitch ,clef,1
Small songbird ,wren,4
"Stumble, hesitate ",falter,2
Most recent,newest,2
"Made known, disclosed ",revealed,1
Modifications ,adjustments,3
A bridge or a width ,span,1
Mailing item ,envelope,3
Carry out again ,redo,2
Person protecting bathers,lifeguard,1
Goes or comes back ,returns,1
Any one of two,either,2
Puncture ,stab,7
