CLUE,ANS,POS
"Stir, excite ",agitate,1
"Prescribed course of diet, exercise, etc ",regimen,1
Providing (a baby) with milk ,breastfeeding,3
Adoration ,worship,4
Military trainees ,cadets,1
Shady shelter ,bower,20
Denver's state ,colorado,1
Charming ,delightful,9
Travel document ,passport,1
Position or posture ,stance,1
Painful muscle contraction ,spasm,1
New England state ,maine,5
Mountainous Welsh region ,snowdonia,1
Disentangle ,unravel,1
Not fortunate ,unlucky,14
Ill fame ,notoriety,2
Acute pain of the nerves ,neuralgia,1
Laughable ,preposterous,6
Depend ,rely,1
Finish ,conclude,1
The whole (of a thing) ,totality,20
Relating to more than one branch of study ,interdisciplinary,1
Army officer ,colonel,2
Terrace ,patio,2
Intensely dislike ,detest,3
Front part of a ship ,bow,1
Risk ,danger,3
Elevation above sea-level ,altitude,1
Horse rider ,jockey,2
Muscular spasms and pains ,cramps,1
Became healthy again ,healed,5
Covered walkway in religious establishment,cloister,1
Foot movement ,step,1
Legitimate ,lawful,16
