CLUE,ANS,POS,FOUND IN
Leaves carved on a Corinthian column ,acanthus,10,Acanthus leaf motif
Citizen of a former Soviet republic,kazakh,8,Kazakhstani (Kazakhstan)
Pisa has a leaning one ,tower,1,Tilted bell tower
Group of musicians ,orchestra,2,Orchestration
Deploy ,use,21,Brought into use
Between dawn and dusk ,daytime,1,Daytime hours
Game played with a netted stick,lacrosse,8,"Lacrosse (though not netted, a net is involved in scoring)"
Something with independent existence ,entity,3,Independent entity
Dispossess ,deprive,4,Deprived
Pudding ,dessert,1,Delicious dessert
"Unlucky, destined to lose ",ill-fated,14,Ill-fated venture
Eyeglass ,monocle,10,Monocle (if single-eyed)
