CLUE,ANS,POS
Deferred ,delayed,2
Creatures from another planet ,aliens,1
Summit ,apex,2
"Maxim, self-evident truth ",axiom,3
Having no predetermined limit ,open-ended,10
"Superior, of the highest quality ",excellent,9
Relieving pain,analgesic,1
Group of nerve cells from which fibres radiate ,ganglion,1
Branch of maths ,geometry,2
Type of music,jazz,2
Brother or sister ,sibling,1
Town and woodland bird ,pigeon,19
Wetness ,moisture,7
"Alone, apart, detached ",isolated,1
"Decisive moment, turning point ",crisis,1
Queasiness ,nausea,2
Spanish gypsy dance ,flamenco,1
Wreckage on sea ,flotsam,1
Country of King Zog ,albania,1
Striking display ,spectacle,1
