CLUE,ANS,POS,FOUND IN
Listen to,hear,1,Attentively hearing
Save from danger ,rescue,1,Rescued
Sweetener ,sugar,1,Sugar substitute
Enclosed drain under a road or railway ,culvert,6,Culvert opening
Prepared ,ready,1,Readymade
Very small amount ,whit,12,Whittled down amount
Feed ,nourish,1,Nourishment
Projectile; salad plant ,rocket,20,Sea rocket (Cakile maritima): A coastal plant with small seeds produced in capsules that are dispersed by the ocean currents
Perimeter ,circumference,1,"Circumference: The perimeter's common name, especially when referring to circles or other shapes with a curved outline."
Units of electrical resistance ,ohms,2,"Kilohm (kΩ) - Equivalent to 1,000 ohms; commonly used in electronics."
Former British rule ,empire,11,Empire's Hold
Residue of a fire ,ash,1,Ashes
Regular - formal dress ,uniform,2,"Corporate uniform: A standardized outfit worn by employees in specific industries like banking, law firms, or other corporate entities to maintain a professional appearance and convey authority."
Trojan hero,hector,3,"Hector: The Trojan prince and greatest fighter for Troy during the Trojan War, representing honor and bravery among warriors."
Gem ,jewel,4,Adornment jewel
Substance used in dyeing ,tannin,9,Iron gall solution (historically used as a tannin source and mordant)
Intrepid ,fearless,1,Courageous: Showing fearlessness in the face of danger or difficulty.
Spanish painter born in Greece ,el greco,1,"El Greco, also known as Diego de Pablo Rodríguez or Gezente (the Greek one)"
Game bird (in a pear tree?),partridge,7,"Red-legged partridge (literally a game bird, though not typically found in pear tree habitats)"
Of the kidneys ,renal,2,Renal arteries - vessels supplying blood to each kidney
Blow - gentle touch - apoplexy ,stroke,3,Delicate stroke
Deport ,exile,9,Exiled
Slangily cheat with wood-working tool ,chisel,1,Chisel away smartly: implying using cleverness rather than brute force
In a position to ,able,1,Advantageous: having favorable conditions or opportunities for success.
"Gives, apportions ",allots,9,Allots resources impartially
