CLUE,ANS,OUTPUT
Rutland town ,oakham,"['Burlington (a hint toward the larger county or state that includes Rutland, Vermont)', 'Barre', 'Killington', 'Middlebury', 'Stowe', 'Montpelier', 'Brandon', 'Rochester', 'Fair Haven', 'Castleton', 'Pawlet', 'Ludlow', 'Wallingford', 'Orwell (part of Rutland County)', 'Proctor (a town in Rutland County, Vermont)', 'Tinmouth', 'Mount Holly', 'Wells River', 'Whitingham', 'Goshen']"
Movement in slow time ,adagio,"['Lethargy', 'Sluggishness', 'Torpor', 'Drowsiness', 'Stagnation', 'Inertia', 'Sedateness', 'Procrastination (often results in slowing down)', 'Delayed reaction', 'Tempo drop', 'Languor', 'Slackening pace', 'Time dilation (figurative use, as in physics or perception of time)', 'Dulled activity', 'Deceleration', 'Ponderous movement', 'Sluggish response', 'Idle motion', 'Measured tread', 'Unhurried stroll']"
Shoe with a canvas upper ,espadrille,"['Sneaker', 'Canvas sneaker', 'Canvas shoe', 'Athletic shoe', 'Trainers', 'Gym shoes', 'Tennis shoe (often has canvas parts)', 'Casual sports shoe', 'Puma Suede (known for its canvas uppers)', 'Nike Air Force 1', 'Vans slip-on', 'Keds (classic canvas shoes)', 'Converse All Star (iconic canvas upper)']"
Large army ,horde,"['Legion', 'Battalion', 'Regiment', 'Brigade', 'Division', 'Massive force', 'Phalanx', 'Grand alliance', 'Multitude (in the military sense)', 'Vast host', 'Heavy battalion', 'Armada', 'Troop surplus', 'Host of armies', 'Enormous force', 'Warhorses (historical term for a large cavalry unit)', 'Great legion', 'Large-scale army', 'Mighty host', 'Platoon swarm']"
"Small, particular part ",detail,"['Fibre', 'Segment', 'Fragment', 'Shard', 'Piece', 'Speck', 'Chip', 'Fraction', 'Portion', 'Bit', 'Slice', 'Crumb', 'Morsel', 'Clod', 'Granule', 'Shardlet (rare, informal)', 'Clip', 'Patch', 'Nugget', 'Knot']"
Dependable ,trusty,"['Reliable', 'Steady', 'Trustworthy', 'Consistent', 'Sturdy', 'Loyal', 'Faithful', 'Assured', 'Persistent', 'Unwavering', 'Secure', 'Confident', 'Dependable', 'Punctual', 'Constant', 'Enduring', 'Predictable', 'Solid', 'Robust', 'Resilient']"
Reacts verbally ,replies,"['Converses', 'Responds', 'Vocalizes', 'Utters', 'Speaks out', 'Chats', 'Commentates', 'Remarks', 'Interacts orally', 'Dialogues', 'Debates', 'Negotiates', 'Articulates', 'Discourses', 'Vocalizes opinions', 'Engages in talk', 'Expresses verbally', 'Declares aloud', 'Proclaims ', 'Communicates with words']"
Material worn knotted round throat,necktie,"['However, the most likely answer could be:', 'Scarf']"
Tidying (anag.) ,dignity,"['Possible solutions include:', 'Dying it - A creative expression meaning applying color to something, but less likely in context of tidying.', 'Giddy ni - Not an English term; ""giddy"" means dizzy or lightheaded and doesn\'t fit the context when paired with ""ni.""', 'Indig']"
Cricket fielding position,mid-off,[]
"Gift, colloquially ",prezzie,"['Present', 'Token', 'Bonus', 'Gratuity', 'Perk', 'Swag', 'Freebie', 'Handout', 'Windfall', 'Bounty (as in a gift)', 'Take-away (gift given to the guests at an event)', 'Giveaway item', 'Complimentary', 'Tip (small token of appreciation, can be seen as colloquial for a small gift)', 'Looting (though negative connotation, it involves taking items which could be thought of as gifts to oneself)', 'Boon', ""Wind-up (toy that is often given as a casual or children's gift)"", 'Keepsake (something kept for remembrance but can also be initially received as a gift)', 'Souvenir (a memento, which can act as a present from a trip)', 'Token of appreciation']"
Essence ,gist,"['Quintessential', 'Spirit', 'Core', 'Substance', 'Heart', 'Fundamental', 'Crux', 'Marrow', 'Soul', 'Essence of being', 'Pith', 'Nucleus', 'Fiber (of a topic or fabric)', 'Quintessence', 'Spirituality', 'Innate quality', 'Nature', 'Substratum', 'Beingness', 'Vital principle']"
Also known as ,aka,"['Also called', 'Alternative name for', 'Known alternatively as', 'Another term for', 'Referred to as', 'By another title', 'Equally named as', 'Similarly referred to as', 'Commonly known also as', 'Identified with the same nomenclature', 'Alike in designation', 'Otherwise called by', 'Termed similarly']"
