CLUE,ANS,POS,FOUND IN
Healing ointment ,balm,3,Medicinal balm
At the back of a ship,aft,1,Aft deck
Dissolute -- gratuitously cruel ,wanton,4,Wanton sadism
The home of sherry ,jerez,7,Jerez vineyard estate
Fermenting grape juice ,must,3,Must processing
Glance over ,scan,3,Rapid scan
Imbibes,drinks,1,Drinks alcohol
Testament or determination ,will,3,Willpower
Deuce ,two,3,Twofold advantage
Painstakingly careful and accurate ,rigorous,17,Rigorously precise
Captain after Moby-Dick ,ahab,19,Moby Dick devotees (those who follow Captain Ahab's obsession with the white whale)
Song of loyalty ,anthem,2,Devoted Anthem
Strokes or fondles ,caresses,1,Caresses gently
"Tube for air, cables, etc ",duct,6,Ventilation duct
.... sapiens is the human species ,homo,3,Homo sapiens
Agricultural labourer of low status ,peasant,1,Peasant farmer
Engulfing swirl of e.g. whirlpool ,vortex,1,Torrential vortex
Asian desert ,gobi,2,Gobi Desert
Full of praise ,laudatory,10,Rich in laudatory remarks
Small cake or bread roll ,bun,6,Cinnamon bun
Brief light fall of rain ,shower,2,Light shower
Tics ,spasms,3,Sudden jerks or spasms
Polish; glow ,shine,13,Szczenity - Lustrous (more often associated with shine rather than glow)
Beatle ,ringo,3,"John, Paul, George, Ringo"
Miniature whirpools ,eddies,3,Infinitesimal eddies
Take over by force,usurp,12,Brutal usurpation
Hospital-like - strictly objective,clinical,1,Clinical environment
This job does not require all of the working week ,part-time,1,Part-time position
Early string instrument ,viol,1,Viola
Strong cord ,rope,18,Braided rope
Bath ,tub,12,Hot tubbing
Uttered - bicycle wheel part ,spoke,3,Spokes
